Starting data collection...
Saved - Temp: 80.2F  Humidity: 59.4%  Air Quality: 0.64V
Saved - Temp: 79.7F  Humidity: 59.5%  Air Quality: 0.61V
Saved - Temp: 79.7F  Humidity: 59.5%  Air Quality: 0.58V
Saved - Temp: 79.7F  Humidity: 59.5%  Air Quality: 0.55V
Saved - Temp: 79.7F  Humidity: 59.6%  Air Quality: 0.53V
Saved - Temp: 79.7F  Humidity: 59.5%  Air Quality: 0.52V
Saved - Temp: 79.7F  Humidity: 59.7%  Air Quality: 0.52V
Reading error: Checksum did not validate. Try again.
Saved - Temp: 80.2F  Humidity: 59.5%  Air Quality: 0.47V
Saved - Temp: 80.4F  Humidity: 58.6%  Air Quality: 0.46V
Saved - Temp: 80.4F  Humidity: 58.2%  Air Quality: 0.45V
Saved - Temp: 80.4F  Humidity: 57.9%  Air Quality: 0.45V
Saved - Temp: 80.6F  Humidity: 58.5%  Air Quality: 0.44V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.43V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.43V
Saved - Temp: 81.0F  Humidity: 58.2%  Air Quality: 0.42V
Saved - Temp: 80.8F  Humidity: 57.7%  Air Quality: 0.42V
Saved - Temp: 80.8F  Humidity: 57.7%  Air Quality: 0.42V
Saved - Temp: 80.8F  Humidity: 57.8%  Air Quality: 0.41V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.41V
Saved - Temp: 80.8F  Humidity: 58.0%  Air Quality: 0.40V
Saved - Temp: 80.8F  Humidity: 58.0%  Air Quality: 0.40V
Saved - Temp: 80.8F  Humidity: 58.0%  Air Quality: 0.40V
Saved - Temp: 80.8F  Humidity: 58.0%  Air Quality: 0.39V
Saved - Temp: 80.8F  Humidity: 58.1%  Air Quality: 0.39V
Saved - Temp: 80.8F  Humidity: 58.0%  Air Quality: 0.39V
Saved - Temp: 80.8F  Humidity: 58.0%  Air Quality: 0.39V
Saved - Temp: 80.8F  Humidity: 58.2%  Air Quality: 0.38V
Saved - Temp: 80.8F  Humidity: 58.1%  Air Quality: 0.38V
Saved - Temp: 80.8F  Humidity: 57.6%  Air Quality: 0.38V
Saved - Temp: 80.6F  Humidity: 57.6%  Air Quality: 0.37V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.37V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.37V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.37V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.37V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.37V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.37V
Saved - Temp: 80.6F  Humidity: 58.0%  Air Quality: 0.36V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.36V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.36V
Saved - Temp: 80.8F  Humidity: 57.8%  Air Quality: 0.36V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.36V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.36V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.36V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.36V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.7%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.7%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.34V
Saved - Temp: 80.6F  Humidity: 57.8%  Air Quality: 0.34V
Saved - Temp: 80.4F  Humidity: 57.7%  Air Quality: 0.34V
Saved - Temp: 80.4F  Humidity: 57.7%  Air Quality: 0.34V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.34V
Saved - Temp: 80.6F  Humidity: 57.9%  Air Quality: 0.34V
Saved - Temp: 80.6F  Humidity: 58.0%  Air Quality: 0.34V
Saved - Temp: 80.6F  Humidity: 58.0%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 58.1%  Air Quality: 0.35V
Saved - Temp: 80.6F  Humidity: 58.1%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.2%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.1%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.2%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.2%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.4%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.4%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.4%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.3%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.4%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.5%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.6%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.8%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.34V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 80.8F  Humidity: 58.7%  Air Quality: 0.35V
Saved - Temp: 81.0F  Humidity: 58.7%  Air Quality: 0.35V
